School name,School type,Telephone,Address1,Address2,Address3,County,Postcode,Email,Lower age,Upper age,Head Teacher,Website,
Sir Henry Fermor Church of England Primary School,Primary,(01892) 652405,Crowborough Hill,,Crowborough,East Sussex,TN6 2SD,office@sirhfermor.e-sussex.sch.uk,5,11,Anne Franklin,http://www.school-portal.co.uk/GroupHomepage.asp?GroupID=321329,
South Malling Church of England Primary School,Primary,(01273) 473016,Church Lane,,Lewes,East Sussex,BN7 2HS,office@southmalling.e-sussex.sch.uk,5,11,Joanna O'Donoghue,http://www.school-portal.co.uk/GroupHomepage.asp?GroupID=422345,
Southdown Junior School,Junior,(01273) 514532,Church Hill,,Newhaven,East Sussex,BN9 9LX,office@southdown.e-sussex.sch.uk,7,11,Christine Terrey,,
Southover Church of England Primary School,Primary,(01273) 473015,Potters Lane,,Lewes,East Sussex,BN7 1JP,office@southover.e-sussex.sch.uk,5,11,Stephen Elliott,http://www.southoverschool.net/,
St Andrew's Church of England Infant School,Infant,(01323) 724749,Winchelsea Road,,Eastbourne,East Sussex,BN22 7PP,office@st-andrews-inf.e-sussex.sch.uk,5,7,Carol Meakins,http://www.st-andrews-inf.e-sussex.sch.uk,
St John's Church of England Primary School,Primary,(01892) 661189,School Lane,,Crowborough,East Sussex,TN6 1SD,office@stjohnsprimary.org,5,11,Laura Cooper,http://www.stjohns.e-sussex.sch.uk/,
St John's Meads Church of England Primary School,Primary,(01323) 730255,Rowsley Road,,Eastbourne,East Sussex,BN20 7XS,office@meads.e-sussex.sch.uk,5,11,Alison Flynn,http://www.meads.e-sussex.sch.uk,
St Leonards Church of England Primary School,Primary,(01424) 422950,Collinswood Drive,,St Leonards-on-Sea,East Sussex,TN38 0NX,office@stleonards-ce.e-sussex.sch.uk,5,11,Robert Upton,http://www.stleonards-ce.e-sussex.sch.uk,
St Mark's Church of England Primary School,Primary,(01825) 830375,School Lane,Hadlow Down,Uckfield,East Sussex,TN22 4HY,office@st-marks.e-sussex.sch.uk,5,11,Claire Rivers,http://www.st-marks.e-sussex.sch.uk,
St Mary Magdalene Catholic Primary School,Primary,(01424) 735810,Hastings Road,,Bexhill-On-Sea,East Sussex ,TN40 2ND,office@stmarymagsbex.e-sussex.sch.uk,5,11,Patricia Longmire,,
St Mary Star of the Sea Catholic Primary School,Primary,(01424) 427801,Magdalen Road,,St Leonards-on-sea,East Sussex,TN37 6EU,office@st-mary-star.e-sussex.sch.uk,5,11,Jane Smith,http://www.st-mary-star.e-sussex.sch.uk,
St Mary the Virgin Church of England Primary School,Primary,(01892) 770221,High Street,,Hartfield,East Sussex,TN7 4AA,office@st-maryhartfield.e-sussex.sch.uk,5,11,Nicola Blake,http://www.st-maryhartfield.e-sussex.sch.uk,
St Mary's Catholic Primary School,Primary,(01892) 655291,Chapel Green,,Crowborough,East Sussex,TN6 2LB,office@stmarysrc.e-sussex.sch.uk,5,11,Maria Cowler,http://www.stmarysrc.e-sussex.sch.uk,
St Mary's School Horam,Special,(01435) 812278,St Mary's School Horam,Maynards Green,Heathfield,East Sussex,TN21 0BT,office@st-marys-horam.e-sussex.sch.uk,9,16,Simon Thorpe,http://www.st-marys-horam.e-sussex.sch.uk,
St Michael's Church of England Primary School,Primary,(01797) 280277,Houghton Green Lane,Playden,Rye,East Sussex,TN31 7PJ,office@playdenschool.com,5,11,John Greenway,,
St Michael's Primary School,Primary,(01892) 770307,Station Road,Withyham,Hartfield,East Sussex,TN7 4BP,office@st-michaels.e-sussex.sch.uk,5,11,Katie O'Shea,http://www.st-michaels.e-sussex.sch.uk,
St Pancras Catholic Primary School,Primary,(01273) 473017,De Montfort Road,,Lewes,East Sussex,BN7 1SR,office@st-pancras.e-sussex.sch.uk,5,11,Deborah  Turner,http://www.st-pancras.e-sussex.sch.uk,
St Paul's Church Of England Primary School,Primary,(01424) 424530,Horntye Road,,St Leonards-on-Sea,East Sussex,TN37 6RT,admin@st-paulscofe-pri.e-sussex.sch.uk,5,11,Richard White,http://www.stpaulsceps.co.uk,
St Peter and St Paul Church of England Primary School,Primary,(01424) 211073,Buckhurst Road,,Bexhill-on-Sea,East Sussex,TN40 1QE,office@stpeterstpaul.e-sussex.sch.uk,5,11,Paula Robinson,http://www.stpeterstpaul.e-sussex.sch.uk,
St Philip's Catholic Primary School,Primary,(01825) 762032,New Town,,Uckfield,East Sussex,TN22 5DJ,office@stphilips.e-sussex.sch.uk,5,11,Frances Morrison,http://www.stphilips.e-sussex.sch.uk,
St Richard's Catholic College,Secondary,(01424) 731070,Ashdown Road,,Bexhill-on-sea,East Sussex,TN40 1SE,office@strichardscc.com,11,16,Doreen Cronin,http://www.st-richards.e-sussex.sch.uk,
St Thomas A Becket Catholic Infant School,Infant,(01323) 726004,3 Tutts Barn Lane,,Eastbourne,East Sussex,BN22 8XT,office@stthomasbecket-inf.e-sussex.sch.uk,5,7,Ruth Jones,http://www.stthomasbecket-inf.e-sussex.sch.uk,
St Thomas A Becket Catholic Junior School,Junior,(01323) 737221,7 Tutts Barn Lane,,Eastbourne,East Sussex,BN22 8XT,office@stthomasbecket.e-sussex.sch.uk,7,11,Rachel Turner,,
St Thomas' Church of England Primary School,Primary,(01797) 226479,Friars Road,,Winchelsea,East Sussex,TN36 4ED,office@st-thomas-winchelsea.e-sussex.sch.uk,5,11,Mary Westhead,,
Stafford Junior School,Junior,(01323) 733434,Ringwood Road,,Eastbourne,East Sussex,BN22 8UA,office@stafford.e-sussex.sch.uk,7,11,Mandy Gard,http://www.stafford.e-sussex.sch.uk ,
Staplecross Methodist Primary School,Primary,(01580) 830256,Staplecross ,,Robertsbridge,East Sussex,TN32 5QD,office@staplecross.e-sussex.sch.uk,5,11,Elizabeth Avard,http://www.staplecross.e-sussex.sch.uk,
Stone Cross School,Primary,(01323) 461002,Adur Drive,Stone Cross,Pevensey,East Sussex,BN24 5EF,office@stonecross.e-sussex.sch.uk,5,11,Anne Allison,http://www.stonecross.e-sussex.sch.uk,
Stonegate Church of England Primary School,Primary,(01580) 200415,Station Road,Stonegate,Wadhurst,East Sussex,TN5 7EN,office@stonegate.e-sussex.sch.uk,5,11,Barbara Godden-Wood,http://www.stonegate.e-sussex.sch.uk,
Telscombe Cliffs Community Primary School,Primary,(01273) 583113,Telscombe Cliffs Way,Telscombe Cliffs,Peacehaven,East Sussex,BN10 7DE,office@staff.telscombecliffs.e-sussex.sch.uk,5,11,Gillian Webb,http://www.telscombecliffs.e-sussex.sch.uk,
The Bishop Bell Church Of England School,Secondary,(01323) 465400,Priory Road,,Eastbourne,East Sussex,BN23 7EJ,admin@bishopbell.e-sussex.sch.uk,11,16,Terry Boatwright, John Ross,http://www.bishopbell.e-sussex.sch.uk,
The Causeway School,Secondary,(01323) 465700,Larkspur Drive,,Eastbourne,East Sussex,BN23 8EJ,enquiries@causeway.e-sussex.sch.uk,11,16,Terry Boatwright, Richard Thomas,http://www.causeway.e-sussex.sch.uk,
Cavendish School,Secondary,(01323) 731340,Eldon Road,,Eastbourne,East Sussex,BN21 1UE,office@cavendish.e-sussex.sch.uk,11,16,Kenneth Fitzpatrick,http://www.cavendish.e-sussex.sch.uk,
The Haven Voluntary Aided C E Methodist Primary School,Primary,(01323) 471781,Atlantic Drive,,Eastbourne,East Sussex,BN23 5SW,admin@thehaven.e-sussex.sch.uk,5,11,Wendy Bray,,
The Lindfield School,Special,(01323) 502988,Lindfield Road,,Eastbourne,East Sussex,BN22 0BQ,office@lindfield.e-sussex.sch.uk,11,16,Kirsty McIlhargey,,
The South Downs Community Special School,Special,(01323) 730302,Beechy Avenue,,Eastbourne,East Sussex,BN20 8NU,office@downs.e-sussex.sch.uk,3,11,Remo Palladino,http://www.south.downs.e-sussex.sch.uk,
Rye College,Secondary,(01797) 222545,Love Lane,,Rye,East Sussex,TN31 7NQ,office@ryecollege.e-sussex.sch.uk,11,16,Ann Cockerham,http://www.ryecollege.co.uk/,
Ticehurst and Flimwell Church of England Primary School,Primary,(01580) 200344,Steellands Rise,Ticehurst,Wadhurst,East Sussex,TN5 7DH,office@ticehurst.e-sussex.sch.uk,5,11,Maggie Sharpe,http://www.ticehurst.e-sussex.sch.uk,
Tideway School,Secondary,(01273) 517601,Southdown Road,,Newhaven,East Sussex,BN9 9JL,office@tidewayschool.org,11,16,Rob Corbett,http://www.tidewayschool.org,
Tollgate Community Junior School,Junior,(01323) 723298,Winston Crescent,,Eastbourne,East Sussex,BN23 6NL,office@tollgate-jun.e-sussex.sch.uk,7,11,Stephen Dennis,http://www.school-portal.co.uk/Grouphomepage.asp?GroupId=394451,
Torfield School,Special,(01424) 428228,Croft Road,,Hastings,East Sussex,TN34 3JT,office@torfield.e-sussex.sch.uk,3,11,Jean Mockford,http://www.torfield.e-sussex.sch.uk,
Uckfield Community Technology College,Secondary,(01825) 764844,Downsview Crescent,,Uckfield,East Sussex,TN22 3DJ,office@uctc.e-sussex.sch.uk,11,18,Hugh Hennebry,http://www.uctc.e-sussex.sch.uk,
Uplands Community College,Secondary,(01892) 782135,Lower High Street,,Wadhurst,East Sussex,TN5 6AZ,office@uplandscc.com,11,18,Jayne Edmonds,http://www.uplandscc.e-sussex.sch.uk,
Wadhurst Church of England Primary School,Primary,(01892) 783155,Sparrows Green,,Wadhurst,East Sussex,TN5 6SR,office@wadhurstpri.e-sussex.sch.uk,5,11,Richard Barham,http://www.wadhurstpri.e-sussex.sch.uk,
Wallands Community Primary School,Primary,(01273) 472776,Gundreda Road,,Lewes,East Sussex,BN7 1PU,office@wallandscp.e-sussex.sch.uk,5,11,Debbie Gordon,http://www.wallandsprimary.com,
West Rise Community Infant School,Infant,(01323) 764062,Chaffinch Road,,Eastbourne,East Sussex,BN23 7SL,office@westriseinf.e-sussex.sch.uk,5,7,Lynne Weir ,http://www.westriseinf.ik.org ,
West Rise Junior School,Junior,(01323) 764037,Chaffinch Road,,Eastbourne,East Sussex,BN23 7SL,office@westrise-jun.e-sussex.sch.uk,7,11,Mike Fairclough,http://www.westrise-jun.e-sussex.sch.uk/,
West St Leonards Community Primary School,Primary,(01424) 422080,Harley Shute Road,,St Leonards-on-Sea,East Sussex,TN38 8BX,office@west-st-leonards.e-sussex.sch.uk,5,11,Frances Robinson,http://www.west-st-leonards.e-sussex.sch.uk,
Western Road Community Primary School,Primary,(01273) 473013,Southover High Street,,Lewes,East Sussex,BN7 1JB,office@westernroad.e-sussex.sch.uk,5,11,Garry Thompson,,
Westfield School,Primary,(01424) 751404,Main Road,Westfield,Hastings,East Sussex,TN35 4QE,office@westfield.e-sussex.sch.uk,5,11,Keith Cheetham,http://www.westfield-school.com,
White House Primary School,Primary,(01323) 841615,Marshfoot Lane,,Hailsham,East Sussex,BN27 2FB,office@whitehouse.e-sussex.sch.uk,5,11,Heather Baldwin,,
Whitehill Infant School,Infant,(01892) 655846,Luxford Road,,Crowborough,East Sussex,TN6 2HW,office@whitehill.e-sussex.sch.uk,5,7,Tracy Robinson,http://www.whitehill.e-sussex.sch.uk,
William Parker Sports College,Secondary,(01424) 439888,Parkstone Road,,Hastings,East Sussex,TN34 2NT,office@williamparker.e-sussex.sch.uk,11,18,John Court,http://www.williamparker.e-sussex.sch.uk,
Willingdon Community School,Secondary,(01323) 485254,Broad Road,,Eastbourne,East Sussex,BN20 9QX,office@willingdon.e-sussex.sch.uk,11,16,Joan Jordan,http://www.willingdon.e-sussex.sch.uk/,
Willingdon Primary School,Primary,(01323) 482619,Rapsons Road,,Eastbourne,East Sussex,BN20 9RJ,office@willingdon-prim.e-sussex.sch.uk,5,11,Judith Cooper,http://www.our-school.net,
Wivelsfield Primary School,Primary,(01444) 471393,South Road,Wivelsfield Green,Haywards Heath,East Sussex,RH17 7QN,office@wivelsfield.e-sussex.sch.uk,5,11,Jonathan Rowsell,http://www.wivelsfield.e-sussex.sch.uk/,
Rye Community Primary School,Primary,01797 222825,The Grove,,Rye,East Sussex,TN31 7ND,office@ryeprimary.e-sussex.sch.uk,5,11,Paul Reilly,http://www.ryeprimary.e-sussex.sch.uk,
The Eastbourne Academy,Secondary,(01323) 514900,Brodrick Road,,Eastbourne,East Sussex,BN22 9RQ,office@theeastbourneacademy.org,11,16,Keith Pailthorpe,http://www.theeastbourneacademy.org,
Heron Park Community Primary School,Primary,01323 502525,Dallington Road,,Eastbourne,East Sussex,BN22 9EE,,5,11,Karen Bye,,
The Hastings Academy,Secondary,,Rye Road,,Hastings,East Sussex,TN35 5DN,,11,16,,,
The St Leonards Academy,Secondary,0142448740,Edinburgh Road,,St Leonards-on-sea,East Sussex,TN38 8HH,,11,18,,,
